BRD,homicides
Laos,Lao PDR
UnitedKingdom,United Kingdom
Serbia(Yugoslavia),Serbia
FYROM,North Macedonia
SierraLeone,Sierra Leone
Bosnia-Herzegovina,Bosnia and Herzegovina
Syria,Syrian Arab Republic
Egypt,"Egypt, Arab Rep."
Kyrgyzstan,Kyrgyz Republic
Myanmar(Burma),Myanmar
TrinidadandTobago,Trinidad and Tobago
SolomonIslands,Solomon Islands
Turkey,Turkiye
SouthSudan,South Sudan
IvoryCoast,Cote d'Ivoire
PapuaNewGuinea,Papua New Guinea
SriLanka,Sri Lanka
Russia(SovietUnion),Russian Federation
Venezuela,"Venezuela, RB"
CentralAfricanRepublic,Central African Republic
BurkinaFaso,Burkina Faso
Congo,"Congo, Rep."
DRCongo(Zaire),"Congo, Dem. Rep."
UnitedStatesofAmerica,United States
Iran,"Iran, Islamic Rep."
Yemen(NorthYemen),"Yemen, Rep."
SaudiArabia,Saudi Arabia
ElSalvador,El Salvador
Cambodia(Kampuchea),Cambodia
